,,,,,,,,,,,,,,,,,,,,,,
cal,Motor rate,Cable type,Starter type,L Cable,L size,unit,L type,G Cable,G size,unit2,G type,in,size,type,,,,,,,,
4|XLPE SC|YD,4,XLPE SC,YD,6x1C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
4|XLPE MC|YD,4,XLPE MC,YD,2x3C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
5.5|PVC SC|DOL,5.5,PVC SC,DOL,3x1C,2.5,Sq.mm.,IEC01,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1/2""",IMC,,,,,,,,
5.5|PVC MC|DOL,5.5,PVC MC,DOL,1x3C,2.5,Sq.mm.,IEC10,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
5.5|XLPE SC|DOL,5.5,XLPE SC,DOL,3x1C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"3/4""",IMC,,,,,,,,
5.5|XLPE MC|DOL,5.5,XLPE MC,DOL,1x3C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
5.5|PVC SC|YD,5.5,PVC SC,YD,6x1C,2.5,Sq.mm.,IEC01,/G-1x1C,2.5,Sq.mm.,IEC01,in,"3/4""",IMC,,,,,,,,
5.5|PVC MC|YD,5.5,PVC MC,YD,2x3C,2.5,Sq.mm.,IEC10,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
5.5|XLPE SC|YD,5.5,XLPE SC,YD,6x1C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
5.5|XLPE MC|YD,5.5,XLPE MC,YD,2x3C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
7.5|PVC SC|DOL,7.5,PVC SC,DOL,3x1C,4,Sq.mm.,IEC01,/G-1x1C,4,Sq.mm.,IEC01,in,"1/2""",IMC,,,,,,,,
7.5|PVC MC|DOL,7.5,PVC MC,DOL,1x3C,4,Sq.mm.,IEC10,/G-1x1C,4,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
